index,ID,tweet,tweet_clean,tweet_raw_len,tweet_clean_len,split,ineffective,unnecessary,pharma,rushed,side-effect,mandatory,country,ingredients,political,none,conspiracy,religious
0,1311981051720409089,"@sandraburgess3 They have no idea, they cant control the Flu with vaccine so what makes them think they can control covid 19 because all flu seems to have a variant of covid in it as do most infectious diseases including Ebola!!!!","[USER] They have no idea, they cant control the Flu with vaccine so what makes them think they can control covid 19 because all flu seems to have a variant of covid in it as do most infectious diseases including Ebola!!!!",41,41,train,1,0,0,0,0,0,0,0,0,0,0,0
1,1361403925845401601,@stepheniscowboy Nvm I’ve had covid I’ve got enough antibodies to see me through you can keep your judgey vaccine,[USER] Nvm I’ve had covid I’ve got enough antibodies to see me through you can keep your judgey vaccine,19,19,train,0,1,0,0,0,0,0,0,0,0,0,0
2,1293488278361055233,Coronavirus updates: Government partners with Moderna to make 100M vaccine doses https://t.co/wDhlhvVqA0 Why are we paying Billions of Dollars to Modrna for thes vaccines when we don't even know if they will work. Isn't this putting the cart before the horse??? Sounds fishy.,Coronavirus updates: Government partners with Moderna to make 100M vaccine doses [URL] Why are we paying Billions of Dollars to Modrna for thes vaccines when we don't even know if they will work. Isn't this putting the cart before the horse??? Sounds fishy.,43,43,train,0,0,1,0,0,0,0,0,0,0,0,0
3,1305252218526990338,@OANN U.K. Glaxo Smith Klein whistleblower who has found antigens in the upcoming Covid vaccine that cause sterility in 97% of the animals tested. https://t.co/2AniAedBSy,[USER] U.K. Glaxo Smith Klein whistleblower who has found antigens in the upcoming Covid vaccine that cause sterility in 97% of the animals tested. [URL],25,25,train,0,0,0,1,0,0,0,0,0,0,0,0
4,1376135683400687618,"3/ horse"" AstraZeneca, not so much for the reduced effectiveness of the vaccine, if compared to others (this is an incontrovertible fact, the numbers never lie), but how much and above all for the dishonest behavior of the company in the distribution of the vaccine: contracts are","3/ horse"" AstraZeneca, not so much for the reduced effectiveness of the vaccine, if compared to others (this is an incontrovertible fact, the numbers never lie), but how much and above all for the dishonest behavior of the company in the distribution of the vaccine: contracts are",47,47,train,1,0,1,0,0,0,0,0,0,0,0,0
5,1351207409071640578,"After a video of his mother’s condition went viral, the son of a woman who was hospitalized after receiving Pfizer’s Covid jab told RT that, even though he was not an anti-vaxxer, he had serious doubts about the drug’s safety.","After a video of his mother’s condition went viral, the son of a woman who was hospitalized after receiving Pfizer’s Covid jab told RT that, even though he was not an anti-vaxxer, he had serious doubts about the drug’s safety.",40,40,train,0,0,0,0,1,0,0,0,0,0,0,0
6,1354543537078095880,"@yvanmamalof @Mij_Europe One dose of the least efficacious vaccine to the most vulnerable in most cases. The rush to be first and drape everything in the flag may well have led to poor and risky decision making. Johnson's risk appetite is huge, as a narcissist he doesn't care about the outcome, or people","[USER] [USER] One dose of the least efficacious vaccine to the most vulnerable in most cases. The rush to be first and drape everything in the flag may well have led to poor and risky decision making. Johnson's risk appetite is huge, as a narcissist he doesn't care about the outcome, or people",53,53,train,1,0,0,1,0,0,0,0,0,0,0,0
7,1335249891807932417,Please read through @NoClutchTruth’s thread on the COVID vaccine being pushed to front line workers in Arkansas. I’m not disagreeing with the vaccine - but against mandatory vaccination.,Please read through [USER] ’s thread on the COVID vaccine being pushed to front line workers in Arkansas. I’m not disagreeing with the vaccine - but against mandatory vaccination.,28,29,train,0,0,0,0,0,1,0,0,0,0,0,0
8,1298704879150653440,@patrickklepek I wouldnt take it if the vaccine is russian. I cant trust those homophobics and their history of failures in every single thing they attempt.,[USER] I wouldnt take it if the vaccine is russian. I cant trust those homophobics and their history of failures in every single thing they attempt.,26,26,train,0,0,0,0,0,0,1,0,0,0,0,0
9,1364590447214145537,"We're told that we have to be overly cautious, in case the vaccine does not offer enough protection or in case of (highly unlikely) vaccine evading variants etc. However, if the vaccine isn't the way out of this, what is plan B @BorisJohnson? Lockdown forever?","We're told that we have to be overly cautious, in case the vaccine does not offer enough protection or in case of (highly unlikely) vaccine evading variants etc. However, if the vaccine isn't the way out of this, what is plan B [USER] ? Lockdown forever?",45,46,train,1,0,0,0,0,0,0,0,0,0,0,0
